"tract","pop","pop_den","p_kids","p_seniors","p_female","p_white","some_college","med_hh_inc","p_poverty"
5700,6684,1.30812103079599e-09,23.27947336924,13.4350688210652,54.3387193297427,81.2387791741472,1128,102760,3.44105326152005
5801,5084,2.79551460956582e-09,14.771833202203,8.18253343823761,46.9118804091267,74.0755310778914,1076,69865,8.88888888888889
5802,5646,1.82624901103934e-09,12.9472192702798,10.9989373007439,55.4906128232377,69.3765497697485,871,66455,9.3057336508518
5900,7825,4.3324027548144e-09,11.258785942492,7.73162939297125,52.4472843450479,81.5463258785942,674,88706,14.8601947847942
6000,5598,4.14903177151763e-09,13.8799571275456,13.415505537692,52.8760271525545,81.7256162915327,779,102879,7.45112504610845
6100,5284,4.43301483164863e-09,9.27327781983346,11.884935654807,48.6563209689629,80.8099924299773,731,84087,4.51527224435591
6200,4262,1.56223400819405e-09,19.2397935241671,15.3214453308306,48.0290943219146,81.6048803378695,270,144150,4.51413637443573
6300,5201,2.25534942616285e-09,17.4966352624495,26.8409921169006,51.5093251297827,88.04076139204,671,152037,3.96058732612056
6400,3481,3.85215372390884e-09,23.0680838839414,10.7727664464234,52.1976443550704,85.9235851766734,331,155000,4.62510772766446
6500,4443,3.87150433373476e-09,12.424037812289,11.4112086428089,42.9439567859554,83.5021381949133,739,94225,2.28300180831826
6600,3571,3.24676800951279e-09,6.32875945113414,7.84094091290955,48.2217866143937,75.5530663679642,604,85625,7.03278229195853
6700,8205,6.41908255097176e-09,6.50822669104205,8.75076173065204,46.2035344302255,68.6654478976234,1416,100625,6.14259597806216
6800,3333,4.64138342150984e-09,21.8421842184218,8.16081608160816,51.4251425142514,85.2085208520852,304,113750,5.37053705370537
6900,4598,5.09254364014459e-09,15.2892561983471,12.4184428012179,52.5880817746846,86.9290996085254,680,108341,4.58315146224356
7000,7178,8.90617286621743e-09,4.62524380050153,16.731680133742,52.5076623014767,80.8303148509334,1272,72218,5.71508614651912
7100,4188,4.8579455646733e-09,7.06781279847182,4.63228271251194,46.1318051575931,67.1680993314231,495,77358,10.4066985645933
